标题,封面链接,详情页链接,作者,简介,字数,价格
山本,https://pic.arkread.com/cover/ebook/f/131018640.1653698310.jpg!cover_default.jpg,https://read.douban.com/ebook/131018640/,贾平凹,小说以秦岭深处一个名为涡镇的小镇为起始，讲述了杨家棺材铺童养媳陆菊人从娘家带来了三分胭脂风水宝地，被不知情的公公赠与井宗秀葬父后竟使涡镇的世道完全改变，从而引发了一幕幕激烈动荡的战争，逛山、刀客、土匪，游击队等多股势力一时间风起云涌，割据各方不断厮杀，同时井家兄弟之间的特殊关系与阮家族群的刻骨仇恨也在特定的时期与地点中变化升级。除此之外，作者更是对秦岭一代的草木鸟兽有着详尽的描述，篇幅之多足以称得上一部秦岭地方志。    贾平凹，一九五二年古历二月二十一日出生于陕西南部的丹凤县棣花村。一九七二年以偶然的机遇，进入西北大学学习汉语言文学。此后，一直生活在西安，从事文学编辑兼写作。出版的主要作品：《浮躁》《废都》《白夜》《怀念狼》《秦腔》《高兴》《古炉》《带灯》《老生》《极花》等，以英、法、德、俄、日、韩、越等文字翻译出版了二十余种版本。曾获全国文学奖多次，及美国美孚飞马文学奖，法国费米那文学奖和法兰西文学艺术荣誉奖。2008年《秦腔》获得第七届茅盾文学奖。2011年《古炉》获得施耐庵长篇小说奖。2013年，获得法国大使馆颁发的法兰西金棕榈文学艺术骑士勋章。《带灯》获评“2013年度中国好书”。2016年《老生》获得第六届中华优秀出版物图书奖。,433128字,26.55元
大师和玛格丽特,https://pic.arkread.com/cover/ebook/f/125165871.1653693360.jpg!cover_default.jpg,https://read.douban.com/ebook/125165871/,"[俄] 布尔加科夫, 译者: 高惠群",★一部被遮蔽的魔幻现实主义经典，比《百年孤独》早成书30年。  ★马尔克斯“凭良心保证，这是一本精妙绝伦的书”。  ★余华5674字内容导读，致敬心中“真正伟大的作家”。  ★独家全彩收录俄罗斯国宝级艺术家安德烈·卡沙克金奖插画10幅，极具收藏价值。  ★俄罗斯文学资深翻译家高惠群经典译本，完美还原书中的华彩篇章。  ★作者布尔加科夫影响了一代作家，深受余华、莫言、格非、苏童、双雪涛、任晓雯等中国作家的喜爱。  ★俄罗斯人票选“最喜爱的小说”No.1，支持率远超《战争与和平》和《罪与罚》。  ★全球读者心目中的“口碑神作”，690个版本，53个语种，6种图像小说。  ★根据它改编的戏剧超过500部，影视剧20部；超过250支乐曲从中获得灵感，比如滚石乐队的《同情恶魔》。  ★粉丝热捧的经典IP，不同流派的画家自发为其创作插图，数量达百余种。  ★喜剧外衣、哲学内核、童话质感、史诗量级，融莫斯科现实、《圣经》典故、东欧神话、魔法幻想于一炉。  ★一场跨越时空的狂欢，上帝与魔鬼交错登场。一幅包罗万象的浮世绘，看光怪陆离的众生相。  ★内含人物关系表，俄罗斯人名难记问题一扫而空。  魔术师沃兰德（魔王撒旦）带着一只会说话的黑猫空降20世纪30年代的莫斯科，凭借魔力“为非作歹”——爱慕虚荣的市民出尽了洋相，贪婪成性的官员莫名其妙葬送了性命，一座信奉无神论的城市，被超自然的力量搅得天翻地覆……  与此同时，另一个时空中，两千年前的耶路撒冷，一场影响深远的判决正在紧张地进行。究竟该不该处死圣洁而又无罪的年轻人——耶稣？罗马总督陷入千年的纠结，也陷入了千年的悔恨。  一段如月光般凄美的爱情，命定般在莫斯科上演。上帝、魔鬼、焚毁书稿的大师、为爱疯狂的姑娘，一一登场；刽子手、告密者、通奸犯，自私自利者们，接踵而至。光怪陆离的幻景之中，一场跨越时空的狂欢就此展开……  《大师和玛格丽特》被认为是魔幻现实主义的开山之作。作者虚构了魔鬼对莫斯科的访问，把不可思议的魔法幻想、真实的历史事件和平庸粗俗的日常生活衔接在一起，营造出一个真实与虚幻交织、合理与荒诞并存、梦幻与现实融为一体的瑰丽世界。它用轻松诙谐、举重若轻的笔法，连锁喜剧、书中之书的结构，明快坚定、流光溢彩的语言，一扫俄罗斯文学给读者留下的沉重、深刻、难以进入的印象，被评为20世纪最好的俄语小说，法国《理想藏书》俄国文学49部理想藏书之首。    作者：  米·阿·布尔加科夫（1891-1940）  俄罗斯“白银时代”重要作家，被公认为20世纪俄罗斯文学最无可争议的经典作家，同时也被认为是魔幻现实主义的鼻祖。  布尔加科夫自幼喜爱文学、音乐、戏剧，深受果戈里、歌德等的影响。最初作品以幽默和辛辣的文风著称，揭露并讽刺不良社会现象，在文坛产生很大影响。然而从1927年开始，他被批评为严重反对苏维埃。到1929年，他的任何作品都无法通过审查。1939年作家呕心沥血完成了历时12年的巨著《大师和玛格丽特》，1940年便与世长辞，而《大师和玛格丽特》直至1966年才得以面世。这部想象奇诡、包罗万象的作品出版之后，被公认是20世纪俄罗斯最伟大的小说之一，引发了持续经年的超越国界、超越文学领域的“布尔加科夫热”，并逐渐形成了“布尔加科夫学”。  译者：  高惠群  俄语文学资深翻译。1959年毕业于上海外国语学院俄语系，并留校任教。1975年起任安徽大学苏联问题研究所、俄罗斯研究所研究员。发表俄罗斯文学译著《安娜•卡列尼娜》《童年》《大师和玛格丽特》《烟》《处女地》《热的雪》《盾与剑》《皮萨列夫》等；出版译学专著《翻译家严复传论》。  插画：  安德烈·亚·卡沙克  1950年生于列宁格勒。俄罗斯联邦荣誉艺术家，俄罗斯艺术学院金奖、银奖获得者。他为《大师和玛格丽特》创作的系列插图荣获圣彼得堡第一届图形双年展“最佳插画奖”。,260186字,65.0元
动物农场,https://pic.arkread.com/cover/ebook/f/18928623.1653708749.jpg!cover_default.jpg,https://read.douban.com/ebook/18928623/,"[英] 乔治·奥威尔, 译者: 李元莘",本书是英国著名作者乔治·奥威尔的代表作之一，是一部政治寓言体小说，故事描述了一场“动物主义”革命的酝酿、兴起和最终蜕变。农场的一群动物成功地进行了一场“革命”，将压榨他们的人赶出农场，建立起一个平等的动物社会。然而，动物领袖，那些聪明的猪们最终却篡夺了革命的果实，成为比人更加独裁和极权的统治者，并且猪们和邻近农场的人类结成同盟，他们最后在宴会上，谁也分不清谁是猪、谁是人了。    乔治·奥威尔（1903－1950），英国著名小说家、记者和社会评论家。他的代表作《动物农场》和《一九八四》是反极权主义的经典名著。乔治·奥威尔一生短暂，但其以敏锐的洞察力和犀利的文笔审视和记录着他所生活的那个时代，作出了许多超越时代的预言，被称为 “一代人的冷峻良知”。,85828字,1.99元
克苏鲁的呼唤,https://pic.arkread.com/cover/ebook/f/400012434.1670380355.jpg!cover_default.jpg,https://read.douban.com/ebook/400012434/,"[美] 霍华德·菲利普斯·洛夫克拉夫特（Howard Phillips Lovecraft）, 译者: 罗颖, 译者: 丁司霄",本书是美国小说家霍华德·菲利普斯·洛夫克拉夫特的短篇小说，写于1926年夏季，1928年2月在小说杂志《诡丽幻谭》上发表。  在身为闪米特语教授的叔祖父离奇死去后，弗朗西斯·维兰德·瑟斯顿（Francis Wayland Thurston）在其家中找到一个怪异的雕像，还有一些相关的剪报和便条。深信这与叔祖父之死有关的主人翁开始追寻其中的秘密，最终在杂乱无章的报章和日记之下，发现这个创作是由旧日支配者（Great old ones）克苏鲁所启发，而世界各地也因克苏鲁即将苏醒而发生各种神秘的事件……《克苏鲁的呼唤》是克苏鲁神话中非常关键的一部小说。  霍华德·菲利普斯·洛夫克拉夫特（Howard Phillips Lovecraft，1890年8月20日—1937年3月15日）是美国恐怖、科幻与奇幻小说作家，尤以怪奇小说著称。洛夫克拉夫特自称其写作的主题为“宇宙主义”，这一主题的基本概念为：人类有限的心智无法理解生命的本质，而宇宙对于人类来说是残酷陌生的。洛夫克拉夫特通过一系列围绕着非人诸神主题展开的关联松散的小说开发出了克苏鲁神话体系；同一时期他还在作品中设定出了《死灵之书》，一本关于魔法仪式及失落知识的虚构魔法书。洛夫克拉夫特的作品大多包含悲观与愤世嫉俗的情感，与启蒙思想、漫主义以及基督教人文主义的价值观格格不入。虽然洛夫克拉夫特的名气在他有生之年一直很小，但他死后其名声却日益高涨；今天，洛夫克拉夫特被看作是20世纪影响力最大的恐怖小说家之一。根据乔伊斯·卡罗尔·欧茨所说，洛夫克拉夫特以及19世纪的埃德加·爱伦·坡“对后世恐怖小说家施加了无可估量的影响”。斯蒂芬·金称洛夫克拉夫特是“20世纪最伟大的古典恐怖故事作家”。,24303字,1.99元
爱与烦恼,https://pic.arkread.com/cover/ebook/f/453906721.1705996750.jpg!cover_default.jpg,https://read.douban.com/ebook/453906721/,"[美] 艾丽斯·沃克, 译者: 乔娟",第一位获得普利策文学奖的非裔女作家——艾丽斯·沃克首部短篇小说集，中文版首次问世！  荣获1974年美国艺术文学院颁发的罗森塔尔文学奖，收录多次被纳入非裔文选的经典短篇《日常用品》  13个黑人女性的故事，道出苦水中挣扎的女性心声：“我要坐在迎宾桌旁，大声说出我的烦恼。”  第一位获得普利策文学奖的非裔女作家——艾丽斯·沃克首部短篇小说集，于1973年出版。本书收录了13篇短篇小说，讲述了黑人女性在现实生活中的种种遭遇，婚姻与家庭，种族与信仰，重重枷锁依然困不住她们追逐自我的渴望。通过一个个性格各异、身世不同的黑人女性的故事，沃克呈现出20世纪的黑人女性们面临的生存困境与突破困境的坚韧力量，将“我们母亲一代”的女性内心深处的动荡刻画出来，突破了刻板偏见，与当时黑人民族文学中盛行的盲目、顺从的黑人妇女形象形成鲜明对照，为下一代黑人女性们改变命运积蓄了精神力量，标志着黑人文学发生了重大的变化。  另外，书中收录的短篇《日常用品》等篇目，多次被纳入非裔文选，也是当代文学史上的经典之作。    艾丽斯·沃克（Alice Walker，1944—），美国非裔女作家、社会活动家，普利策奖得主。1983年，她的长篇小说《紫颜色》以其独特的叙事手法和感人肺腑的故事，赢得普利策奖、美国国家图书奖等多个奖项，她也因此成为首位获得普利策文学奖的非裔美国女性。由该小说改编而成的同名电影，是美国电影史上第一部以黑人为题材的电影，共获11项奥斯卡奖提名。沃克长期关注与女性、种族相关的社会议题，并笔耕不辍，对世界女性主义文学的发展产生了重要影响。  译者：乔娟，山西大学外国语学院副教授、硕士生导师，北京语言大学文学博士，主要研究方向为西方文论与美国文学。,72409字,40.8元
哈克贝利·费恩历险记,https://pic.arkread.com/cover/ebook/f/472348185.1719305899.jpg!cover_default.jpg,https://read.douban.com/ebook/472348185/,"[美] 马克·吐温, 译者: 张友松",《哈克贝利·费恩历险记》（1884）是《汤姆·索亚历险记》的姊妹篇，小说以风趣诙谐的手法，描写主人公哈克贝利为了追求自由的生活，离家出走并与黑奴吉姆结伴乘坐木筏沿密西西比河漂流的种种经历，塑造了一个不愿受“文明”社会约束、一心想回归大自然、聪明机灵但又不乏同情心的美国顽童形象。本书可以说是一幅杰出的美国社会生活风物图，被视为美国文学史上具有划时代意义的现实主义杰作。    马克·吐温（1835—1910）美国作家，美国批判现实主义文学的奠基人。一生创作颇丰，作品多以密西西比河畔为背景，反映十九世纪末期美国社会的方方面面，其文笔幽默诙谐，针砭时弊深刻准确。  张友松（1903—1995），原名张鹏，湖南醴陵人。民盟成员，北京大学英文系肄业。曾任上海北新书局编辑，后创办春潮书局，任经理兼编辑。1925年发表处女译作《安徒生评传》。此后，通过英译本翻译了屠格涅夫的《春潮》、契诃夫的《三年》和施托姆的《茵梦湖》等作品。新中国成立后，曾任《中国建设》编辑；二十世纪五十年代被人民文学出版社聘为特约译者，开始翻译马克·吐温的作品。共译九部，是我国最著名、最具特色的马克·吐温作品的中译者。,222910字,19.0元
蒋子龙文集8：乔厂长上任记,https://pic.arkread.com/cover/ebook/f/9285420.1653694124.jpg!cover_default.jpg,https://read.douban.com/ebook/9285420/,蒋子龙,《蒋子龙文集8：乔厂长上任记》是《蒋子龙文集》中的短篇小说卷。《蒋子龙文集8:乔厂长上任记》主要收录了作者不同时期的代表作和成名作。  从作品中可以看出作者创作的变化。其中既包括了《乔厂长上任记》《拜年》《一个厂长秘书的日记》，也有《大周天》《净火》等一组反映现实生活的微型小说。  蒋子龙，当代著名作家，现任中国作家协会副主席、天津市作家协会主席。天津市政协常委，中国作协第三届理事、第四届主席团委员及第五、六、七届副主席。1962年开始发表作品。1981年加入中国作家协会。著有长篇小说《农民帝国》《蛇神》、《子午流注》、《人气》、《空洞》，中篇小说《锅碗瓢盆交响曲》，短篇小说《三个起重工》，《蒋子龙选集》（3卷），《蒋子龙文集》（8卷）等。短篇小说《乔厂长上任记》、《一个工厂秘书的日记》及《拜年》分获1979、1980、1982年全国优秀短篇小说奖，中篇小说《开拓者》、《赤橙黄绿青蓝紫》及《燕赵悲歌》分获1980、1982、1984年全国优秀中篇小说奖。,404291字,44.0元
太阳照常升起,https://pic.arkread.com/cover/ebook/f/122505395.1653699490.jpg!cover_default.jpg,https://read.douban.com/ebook/122505395/,"[美] 欧内斯特·海明威, 译者: 赵静男",★海明威诞辰120周年名家名译  ★海明威的第一部长篇小说，堪称其艺术成就顶峰的作品  美国青年巴恩斯在第一次世界大战中脊椎受伤，失去性能力，战后在巴黎任记者时与英国人阿施利夫人相爱，夫人一味追求享乐，而他只能借酒浇愁。两人和一帮男女朋友去西班牙潘普洛纳参加斗牛节，追求精神刺激。夫人拒绝了犹太青年科恩的苦苦追求，却迷上了年仅十九岁的斗牛士罗梅罗。然而，在相处了一段日子以后，由于双方年龄实在悬殊，而阿施利夫人又不忍心毁掉纯洁青年的前程，这段恋情黯然告终。夫人最终回到了巴恩斯身边，尽管双方都清楚，彼此永远也不能真正地结合在一起。《太阳照常升起》为海明威的第一部长篇小说，堪称其艺术成就最高的一部长篇小说。海明威也由此成为“迷惘的一代”的代言人。    欧内斯特·海明威（1899—1961），20世纪美国小说家、记者，“迷惘的一代”代表作家。一生经历丰富、传奇，写作风格简洁明快，以“文坛硬汉”著称，对现当代美国和世界文学有着极为深远的影响。代表作有《太阳照常升起》、《永别了，武器》、《丧钟为谁而鸣》等。1953年凭借《老人与海》获普利策奖，1954年获诺贝尔文学奖。  本文集收录了海明威全部长、中、短篇小说和全部非虚构类纪实作品，作家唯一的剧本《第五纵队》及影片《西班牙大地》解说词，以及作家书信集也悉数收进，凡16种（18卷），辅以大量原版插图、珍贵历史影像，图文并茂，全貌再现海明威作品及其生平。  本文集译者名家荟萃：吴劳、鹿金、蔡慧、陈良廷、主万、董衡巽等一代英美文学翻译大家模范译本有口皆碑、历久弥新，辅以详尽背景资料和译序解读，以精良文本，致敬经典。,136622字,24.99元
被嫌弃的松子的一生,https://pic.arkread.com/cover/ebook/f/51261640.1653702868.jpg!cover_default.jpg,https://read.douban.com/ebook/51261640/,"[日] 山田宗树, 译者: 王蕴洁, 译者: 刘珮瑄",★每个勇敢去爱的灵魂，都本该被世界温柔相待  ★电影史上永恒的经典《被嫌弃的松子的一生》原著小说  ★日本发行逾130万册，中国大陆首次正版授权引进！  ★“社会派”大师山田宗树生涯代表作，当代女性的心灵史诗  ==================  在东京尽情享受大学生活的川尻笙，某天父亲突然到访，告知他30多年前失踪的松子姑姑最近在东京被人杀害了。负责整理姑姑遗物的笙，开始调查松子的一生。  从中学教师到风俗女郎，松子一生都在追寻名为爱之物，被家人驱赶，遭情人抛弃，被命运百般羞辱，却始终对人心无戒备。对于爱，她不懂什么叫绝望，只知道要勇敢地去追寻。  她的一生，是荒诞的一生，是失败的一生，却也是不放弃希望的一生，是认真活过的一生。  松子的故事感动无数人，对它的讨论和解读经久不息。她经历了非常的苦难，满身伤痕，却在绝望与希望中开出了美丽的花朵。在她身上我们每个人都能看到自己的影子，体验出人性的明暗，品尝着生之欢悦与苍凉，思考活着的意义是什么。    山田宗树，日本当代著名小说家，1965年生于日本爱知县犬山市，曾在制药公司担任研究工作。  1998年以《直线的死角》出道，获得第18届横沟正史奖。他的代表作《被嫌弃的松子的一生》，包含文库本在内的发行量逾130万册，曾被改编成电影和电视剧，在日本和国际上均获得极高的人气。山田宗树擅长创造戏剧性的情节，渴望创作出让读者一页接着一页无法停止翻阅的作品。作品主题非常多元且具有话题性，涉及女性自我认同、医学、推理、高龄化、少子化等热点议题，曾多次获得日本各大文学奖项。  其他作品包括获得第66届日本推理作家协会奖的《百年法》、探讨脑死亡与心脏移植问题的《死者的心跳》、医学推理小说《黑色春天》等。,206822字,45.0元
玫瑰门,https://pic.arkread.com/cover/ebook/f/51583236.1653661815.jpg!cover_default.jpg,https://read.douban.com/ebook/51583236/,铁凝,《玫瑰门》是铁凝的第一部长篇小说，以一个女孩儿在喧嚣混乱的岁月中，迷茫地穿越生命之门为线索，通过庄家三代女性司绮纹、竹西、苏眉不同的生存状态和人生轨迹的刻画，形象地概括了半个多世纪以来中国女性命运的历史演变，全面深刻地呈现出女性生存的百态图。也正是从这部作品始，铁凝的创作风格由清新纯净转向深沉厚重。    铁凝，生于1957年，当代作家。现为中国作家协会主席，河北省作家协会主席。主要著作有：《玫瑰门》《无雨之城》《大浴女》《麦秸垛》《哦，香雪》《孕妇和牛》以及散文、电影文学剧本等百余篇、部，300余万字。散文集《女人的白夜》获中国首届鲁迅文学奖：中篇小说《永远有多远》获第二届鲁迅文学奖。根据小说改编的电影《哦，香雪》获第41届柏林国际电影节青春片最高奖；电影《红衣少女》获1985年中国电影“金鸡奖”“百花奖”优秀故事片奖。部分作品译成英、法、德、日、俄、丹麦、西班牙等文字。亦有小说在香港和台湾出版。,297923字,19.82元
努门诺尔与中洲之未完的传说,https://pic.arkread.com/cover/ebook/f/51216775.1653702848.jpg!cover_default.jpg,https://read.douban.com/ebook/51216775/,"[英] J.R.R.托尔金, [英] 克里斯托弗·托尔金, 译者: 石中歌, 译者: 邓嘉宛",《努门诺尔与中洲之未完的传说》汇集了自远古至魔戒大战结束、时间跨度足有数千年之久的种种中洲逸事：  巫师甘道夫对促成矮人聚首袋底洞、谋复孤山的生动叙述；  伊熙尔杜身遭不测，魔戒落入大河的前因后果；  加拉德瑞尔的过往与力量之戒的铸成；  刚铎与洛汗两国缘何结下同仇敌忾的生死盟约；  沉沦之地努门诺尔漫长历史遗留的唯一记载；  以及初代黑暗魔君尚未败亡之时，杜内丹人的先祖图奥是如何亲见司掌众水之神乌欧牟现身于贝烈瑞安德的海滨，传奇英雄图林又何以慨叹自己“自童年起就在魔苟斯的黑暗迷雾中摸索”。  本书是为渴望更加了解中洲的语言文化、历史传说、风土人情的读者准备的厚礼。  诚然，书中“每个故事都是‘未完’的，差别只在程度的深浅，并且是多种意义上的‘未完’”，但传奇本无穷尽，故也永不终结。    J.R.R.托尔金（J.R.R.Tolkien），英国文豪，天才的语言学家，生于1892年1月3日，1925年开始担任牛津大学教授。他创造了一系列脍炙人口的中洲世界史诗，影响最为深远的是《霍比特人》和《魔戒》。这两部巨作，被誉为当代奇幻作品的鼻祖。1972年3月28日，托尔金获英国女王伊丽莎白二世颁发的大英帝国指挥官勋章。  托尔金于1973年9月2日在牛津逝世。托尔金身后，其作品声名未减，至今已畅销2.5亿余册，《魔戒》在英国Waterstones书店和第四频道合办的票选活动中被选为20世纪之书，被亚马逊网络书店票选为两千年以来最重要的书籍。  克里斯托弗·托尔金（Christopher Tolkien），J.R.R.托尔金的小儿子，托尔金文学遗产执行人，整理编辑有《精灵宝钻》《胡林的子女》以及十二卷本《中洲历史》等作品，曾为《魔戒》绘制地图。  石中歌，资深托迷，又名Ecthelion、喷泉。热爱托尔金教授笔下那个名为阿尔达的世界，长年累月迷路其中，且乐不思返。  邓嘉宛，专职译者，英国纽卡斯尔大学社会语言学硕士。从事文学与基督教神学翻译工作二十年，译有《魔戒》《精灵宝钻》《胡林的子女》等四十余种作品。喜欢一个人有书有猫做伴的生活。,348475字,55.0元
无线追凶,https://pic.arkread.com/cover/ebook/f/480628276.1727665101.jpg!cover_default.jpg,https://read.douban.com/ebook/480628276/,"[美] 埃里克·拉森, 译者: 邢玮",⊙这是一个“谋杀的黄金时代”，真实的谋杀比小说更加离奇  ⊙技术革新总是突然降临，是否足够疯狂才能改变世界？  ⊙初代直播破案，全民瞩目的追凶现场  ⊙沉浸式步入1910年罪案现场  新世纪的车轮滚滚向前，伦敦人沐浴在维多利亚盛世的余晖里，见证着诸多离奇事件的上演。  初来乍到的意大利小伙马可尼痴迷于无线电，称它可以像有线电报一样传递消息。尽管同行和媒体冷嘲热讽，他还是通过不计成本的实验，将大西洋变成了无线电织成的消息巨网。  美国的克里平夫妇来伦敦定居，随着妻子的离奇失踪，藏于地下室的可怕凶案曝光。嫌疑人早已乘船逃跑，追捕无望之际，一封无线电报从大西洋的邮轮上传来，落入警探手中。  一场跨时代的猫鼠游戏开始。凶手和警探都不知道，他们的一举一动，看客们了如指掌。    埃里克·拉森（ErikLarson）  美国作家、记者，生于1954年。被《芝加哥太阳报》称为“有小说家灵魂的历史学家”。曾为《时代杂志》《纽约客》《大西洋月刊》等知名媒体撰稿。代表作包括《白城恶魔》《至此一年》《无线追凶》，在近二十个国家出版，均受到读者好评，英文版销量超过一千万册。其中，《白城恶魔》获美国国家图书奖提名，并于2004年获爱伦·坡奖最佳犯罪实录奖。,230051字,19.99元
1984,https://pic.arkread.com/cover/ebook/f/9553470.1653698690.jpg!cover_default.jpg,https://read.douban.com/ebook/9553470/,"[英] 乔治·奥威尔(OrwellGeorge), 译者: 富强","《1984》是一部杰出的政治寓言小说，也是一部幻想小说。作品刻画了人类在极权主义社会的生存状态，有若一个永不退色的警示标签，警醒世人提防这种预想中的黑暗成为现实。历经几十年，其生命力益显强大，被誉为20世纪影响最为深远的文学经典之一。  乔治·奥威尔（George Orwell, 1903-1950），英国作家。本名埃里克·亚瑟·布莱尔（Eric Arthur Blair），生于印度，父亲为殖民地官员。14岁考入伊顿公学，获取奖学金。1921从伊顿公学毕业后考取公职，到缅甸作了一名帝国警察，在那里，被奴役的殖民地人民的悲惨生活刺激了奥威尔的良知。他1927年辞职，后来写下与此段经历有关的《绞刑》（A Hanging, 1931），《缅甸岁月》（Burmese Days, 1934）和《猎象记》（Shooting an Elephant, 1936）这些纪实性作品。  1928年1月回国后，奥威尔深入到社会底层，四处漂泊流落。在巴黎、伦敦两地，当过洗盘子的杂工，住过贫民窟，常常混迹在流浪汉和乞丐之中。次年，写下了关于这段经历的纪实性作品《巴黎伦敦落魄记》（Down and Out in Paris and London, 1933），真切地描述了生活在社会底层的人民的苦难。正是在为这部作品署名时，他用了“乔治·奥威尔”这一笔名。  1936年7月，西班牙内战爆发。同年年底，奥威尔与新婚妻子一同奔赴西班牙，投身于保卫共和政府的战斗。奥威尔在前线担任少尉，喉部曾受重伤。他为记述西班牙内战而写的《向卡特洛尼亚致敬》（Homage to Catalonia, 1938）一书，后来成为关于这场内战的一部权威性文献。  西班牙左翼共和政府的内部分裂，致使战争失利，而奥威尔差一点丧身在共和政府内部党派之争的倾轧中。这个惨痛的经验对他影响巨大。他曾说自己“从1930年起就是一个社会主义者了”，而这时候，他又开始考虑“捍卫民主社会主义”的问题了。这个思想出发点，一直影响到他后期的影响最广的两部名作——《动物农场》和《1984》的创作。  1950年1月，奥威尔病逝，终年46岁。  乔治·奥威尔（George Orwell, 1903-1950），英国作家。本名埃里克·亚瑟·布莱尔（Eric Arthur Blair），生于印度，父亲为殖民地官员。14岁考入伊顿公学，获取奖学金。1921从伊顿公学毕业后考取公职，到缅甸作了一名帝国警察，在那里，被奴役的殖民地人民的悲惨生活刺激了奥威尔的良知。他1927年辞职，后来写下与此段经历有关的《绞刑》（A Hanging, 1931），《缅甸岁月》（Burmese Days, 1934）和《猎象记》（Shooting an Elephant, 1936）这些纪实性作品。",185443字,9.9元
儿子与情人,https://pic.arkread.com/cover/ebook/f/5666236.1653712655.jpg!cover_default.jpg,https://read.douban.com/ebook/5666236/,"[英] 戴·赫·劳伦斯 , 译者: 张禹九",书中的第一代是瓦尔特·莫雷尔和格特鲁德夫妇。瓦尔特原本充满了活力，乐观、讨人喜欢；后来却脾气变坏，酗酒打人，成为行尸走肉。对丈夫失望的妻子遂将希望寄托在儿子身上。但是她钟爱的长子威廉不幸早夭，随之对次子保罗产生了强烈的感情。而保罗的两个女朋友却有不同的爱情观，让他无所适从。母亲去世后，保罗决定离开家乡，到城市去。至于保罗今后的人生道路怎么走，劳伦斯没有告诉我们答案。而这样模糊不清的结尾正反映了劳伦斯同样迷惘的心态：他所探索的两性之间的相处，进而拓展到人与人之间的关系，都是迷惘的。  《儿子与情人》是戴·赫·劳伦斯作家的成名作。书中的许多内容均源于劳伦斯本人年轻时住在伊斯特伍德矿区小村的生活。小说里的莫雷尔夫妇其实就是劳伦斯本人的父母亲；男主人公保罗在很大程度上就是劳伦斯本人。故事以莫雷尔和格特鲁德的婚姻开篇。表面上，它类似传统的十九世纪英国小说，但“俄狄浦斯”这一“话题”使它摆脱了旧式小说的窠臼，扩展出了小说创作的新领域(或新天地)。  戴·赫·劳伦斯，（David Herbert Lawrence，1885～1930）英国诗人、小说家、散文家。出生于矿工家庭，当过屠户会计、厂商雇员和小学教师，曾在国内外漂泊十多年，对现实抱批判否定态度。他写过诗，但主要写长篇小说，共有10部，最著名的为《虹》（1915）、《爱恋中的女人》（1921）和《查太莱夫人的情人》（1928）。  劳伦斯生于1885年。父亲是矿工，缺少教育；母亲出身上流社会，有良好的修养。这种文化上的差异，使他们经常吵吵闹闹。但这种差异使劳伦斯从父亲那里得到了丰富的社会经验，从母亲那里至高无上的关怀。也许是母亲过分溺爱，劳伦斯有严重的恋母情结。他在给朋友的信中说：“我们相互爱着，几乎像丈夫跟妻子那样的爱，同时又是母亲与儿子的爱。我们俩就像一个人，彼此那样敏感，我们之间不要语言。这挺可怕，弄得我有些方面不正常。”  劳伦斯是最富想象力的作家，他如不过早地逝世，肯定会有更惊世的作品问世，也许更会被列为禁书。,289492字,4.99元
无人生还,https://pic.arkread.com/cover/ebook/f/39606184.1653704505.jpg!cover_default.jpg,https://read.douban.com/ebook/39606184/,"[英] 阿加莎·克里斯蒂, 译者: 夏阳",十个相互陌生、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。  当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接着，一位客人离奇死亡。暴风雨让小岛与世隔绝，《十个小士兵》——这首古老的童谣成了死亡咒语。如同歌谣中所预言的，客人一个接一个死去……杀人游戏结束后，竟无一人生还！    阿加莎·克里斯蒂原名为阿加莎·玛丽·克拉丽莎·米勒，一八九〇年九月十五日生于英国德文郡托基的阿什菲尔德宅邸。她几乎没有接受过正规的教育，但酷爱阅读，尤其痴迷于歇洛克·福尔摩斯的故事。  无可争议的侦探小说女王，侦探文学史上最伟大的作家之一。,104830字,17.5元
金银岛（经典译林）,https://pic.arkread.com/cover/ebook/f/137779157.1653693727.jpg!cover_default.jpg,https://read.douban.com/ebook/137779157/,"[英] 史蒂文森, 译者: 王宏",《金银岛》是一部儿童冒险故事经典作品，被誉为“有史以来最好看的海盗小说”“百部伟大文学作品之一”。被列入青少年阅读经典读物，出版多年来深受各国读者喜爱，经久不衰。  一个十岁男孩，偶然在老海盗的遗物中得到了一张埋藏着巨额财富的荒岛藏宝图。于是，他离开家园，随着众人远涉重洋，冒险寻宝。寻宝路上，男孩和他的同伴们不仅要应对茫茫大海上恶劣的自然天气、热带丛林里肆虐的疾病，更要面对海盗们的叛变厮杀、明抢激战和暗中争斗……  《金银岛》被誉为“有史以来最好看的海盗小说”。你想亲历金银岛这场离奇、惊险的角逐吗？你想懂得善永远比恶要强大吗？那就随着吉姆前往《金银岛》吧！你将会满载而归。    史蒂文森于1850年诞生在英国北部苏格兰的首都爱丁堡，1894年病逝于南太平洋萨摩亚群岛的吾波卢岛。在他短暂的四十四年生命旅程中，写作生涯占了二十二年。,120529字,24.99元
